,DepMap_ID
0,ACH-000288
629,ACH-002392
990,ACH-000002
1655,ACH-000004
2297,ACH-000006
2855,ACH-000008
3521,ACH-000009
4160,ACH-000015
4828,ACH-000018
5354,ACH-000019
5982,ACH-000020
6401,ACH-000021
6949,ACH-000023
7574,ACH-000024
8240,ACH-000030
8896,ACH-000035
9533,ACH-000038
9828,ACH-000046
10451,ACH-000047
11018,ACH-000048
11647,ACH-000050
12100,ACH-000053
12728,ACH-000054
13349,ACH-000056
13784,ACH-000058
14281,ACH-000059
14843,ACH-000061
15509,ACH-000062
16040,ACH-000065
16660,ACH-000070
17322,ACH-000072
17984,ACH-000073
18644,ACH-000074
19312,ACH-000078
19755,ACH-000081
20416,ACH-000087
21083,ACH-000090
21708,ACH-000092
22224,ACH-000094
22816,ACH-000096
23446,ACH-000098
24073,ACH-000099
24736,ACH-000100
25354,ACH-000101
26017,ACH-000103
26516,ACH-000105
27188,ACH-000106
27853,ACH-000108
28479,ACH-000111
29145,ACH-000112
29536,ACH-000113
30193,ACH-000115
30865,ACH-000117
31498,ACH-000120
32096,ACH-000121
32721,ACH-000124
33292,ACH-000129
33678,ACH-000132
34164,ACH-000136
34660,ACH-000137
35332,ACH-000138
35957,ACH-000142
36581,ACH-000144
37196,ACH-000145
37869,ACH-000146
38436,ACH-000149
38958,ACH-000151
39523,ACH-000153
40047,ACH-000156
40226,ACH-000159
40899,ACH-000161
41524,ACH-000162
42075,ACH-000168
42746,ACH-000169
43372,ACH-000171
43998,ACH-000174
44620,ACH-000176
45249,ACH-000177
45428,ACH-000181
46050,ACH-000183
46714,ACH-000186
47239,ACH-000187
47636,ACH-000188
48163,ACH-000189
48803,ACH-000191
49434,ACH-000192
50055,ACH-000193
50702,ACH-000196
51149,ACH-000197
51329,ACH-000200
51906,ACH-000204
52555,ACH-000210
53144,ACH-000211
53765,ACH-000212
54395,ACH-000217
55019,ACH-000218
55588,ACH-000221
56209,ACH-000222
56811,ACH-000223
57448,ACH-000225
57682,ACH-000226
58339,ACH-000227
58979,ACH-000231
59642,ACH-000233
60303,ACH-000236
60931,ACH-000238
61537,ACH-000242
62165,ACH-000243
62761,ACH-000244
63386,ACH-000245
64055,ACH-000247
64650,ACH-000248
65256,ACH-000249
65926,ACH-000250
66553,ACH-000254
67222,ACH-000257
67558,ACH-000259
68227,ACH-000260
68843,ACH-000263
69342,ACH-000264
70007,ACH-000267
70674,ACH-000269
71339,ACH-000270
71935,ACH-000271
72511,ACH-000273
73175,ACH-000276
73813,ACH-000277
74443,ACH-000281
75016,ACH-000287
75580,ACH-000290
76241,ACH-000291
76866,ACH-000292
77485,ACH-000293
78134,ACH-000295
78797,ACH-000298
79404,ACH-000301
80071,ACH-000303
80744,ACH-000304
81371,ACH-000305
82044,ACH-000308
82671,ACH-000309
83273,ACH-000311
83899,ACH-000315
84562,ACH-000318
85135,ACH-000320
85800,ACH-000322
86461,ACH-000323
87085,ACH-000326
87688,ACH-000330
88316,ACH-000332
88942,ACH-000334
89602,ACH-000335
90247,ACH-000336
90909,ACH-000337
91508,ACH-000341
92064,ACH-000343
92664,ACH-000345
92868,ACH-000346
93526,ACH-000347
94088,ACH-000348
94688,ACH-000349
95319,ACH-000350
95945,ACH-000351
96546,ACH-000352
97182,ACH-000353
97798,ACH-000355
98472,ACH-000358
99019,ACH-000359
99612,ACH-000360
99969,ACH-000361
100590,ACH-000362
101251,ACH-000363
101913,ACH-000365
102479,ACH-000366
103146,ACH-000367
103819,ACH-000369
104166,ACH-000371
104739,ACH-000372
105331,ACH-000373
105855,ACH-000374
106305,ACH-000375
106927,ACH-000378
107427,ACH-000379
108056,ACH-000380
108593,ACH-000381
109223,ACH-000383
109849,ACH-000386
110495,ACH-000389
111118,ACH-000391
111772,ACH-000392
112406,ACH-000394
